Date,VTI,TLT,IEF,GSG,GLD
2007-12-31,52.48409652709961,54.84458923339844,56.988643646240234,52.7400016784668,82.45999908447266
2008-01-31,49.24793243408203,55.99406433105469,58.901145935058594,52.5,91.4000015258789
2008-02-29,48.01852798461914,55.739097595214844,59.63107681274414,58.40999984741211,96.18000030517578
2008-03-31,47.58893966674805,56.93129348754883,60.42854690551758,57.86000061035156,90.41000366210938
2008-04-30,49.913883209228516,55.51583480834961,58.96778869628906,62.599998474121094,86.6500015258789
2008-05-31,50.92013931274414,54.02342987060547,57.919612884521484,67.9000015258789,87.44999694824219
2008-06-30,46.785030364990234,55.45699691772461,58.583309173583984,74.91000366210938,91.4000015258789
2008-07-31,46.49303436279297,55.253292083740234,59.005455017089844,64.93000030517578,90.08000183105469
2008-08-31,47.17192459106445,56.766845703125,59.90630340576172,60.06999969482422,81.70999908447266
2008-09-30,42.8127326965332,57.604705810546875,59.82225799560547,53.79999923706055,85.06999969482422
2008-10-31,35.33003616333008,56.53282165527344,59.30597686767578,37.84000015258789,71.33999633789062
2008-11-30,32.498355865478516,64.64037322998047,63.90449142456055,32.209999084472656,80.30999755859375
2008-12-31,33.07231521606445,73.46539306640625,67.19950103759766,28.610000610351562,86.5199966430664
2009-01-31,30.411151885986328,63.86284637451172,64.58733367919922,25.649999618530273,91.30999755859375
2009-02-28,27.210363388061523,62.884521484375,64.11271667480469,24.079999923706055,92.62999725341797
2009-03-31,29.461259841918945,65.42964935302734,66.23722076416016,25.18000030517578,90.27999877929688
2009-04-30,32.69918441772461,60.8809814453125,64.4188232421875,24.790000915527344,87.2699966430664
2009-05-31,34.48561096191406,58.6314582824707,63.080650329589844,30.1200008392334,96.19999694824219
2009-06-30,34.612300872802734,59.07182693481445,62.729217529296875,30.049999237060547,91.18000030517578
2009-07-31,37.29030990600586,59.41213607788086,63.25096893310547,30.270000457763672,93.3499984741211
2009-08-31,38.674190521240234,60.73751449584961,63.733829498291016,30.399999618530273,93.4000015258789
2009-09-30,40.272796630859375,62.230506896972656,64.45043182373047,29.68000030517578,98.8499984741211
2009-10-31,39.213191986083984,60.60251998901367,64.36152648925781,31.110000610351562,102.52999877929688
2009-11-30,41.44512176513672,61.337554931640625,65.65975189208984,31.510000228881836,115.63999938964844
2009-12-31,42.63174819946289,57.44530487060547,62.76894760131836,31.81999969482422,107.30999755859375
2010-01-31,41.111610412597656,58.991817474365234,64.25664520263672,29.239999771118164,105.95999908447266
2010-02-28,42.52587127685547,58.789833068847656,64.46990966796875,30.969999313354492,109.43000030517578
2010-03-31,45.245723724365234,57.580284118652344,63.78855514526367,31.15999984741211,108.94999694824219
2010-04-30,46.23278045654297,59.49303436279297,64.84278869628906,32.13999938964844,115.36000061035156
2010-05-31,42.58823013305664,62.53215408325195,66.74478912353516,27.770000457763672,118.87999725341797
2010-06-30,40.100860595703125,66.15765380859375,68.77936553955078,27.790000915527344,121.68000030517578
2010-07-31,42.91617965698242,65.53153228759766,69.40498352050781,29.389999389648438,115.48999786376953
2010-08-31,40.89433670043945,71.03018951416016,71.73423767089844,27.780000686645508,122.08000183105469
2010-09-30,44.76445007324219,69.24005126953125,71.73204803466797,30.010000228881836,127.91000366210938
2010-10-31,46.56667709350586,66.14549255371094,71.72699737548828,30.8799991607666,132.6199951171875
2010-11-30,46.804420471191406,65.02809143066406,71.08277893066406,31.260000228881836,135.4199981689453
2010-12-31,50.06172561645508,62.62264633178711,68.6439437866211,34.099998474121094,138.72000122070312
2011-01-31,51.087162017822266,60.69316864013672,68.6292953491211,35.15999984741211,129.8699951171875
2011-02-28,52.97614288330078,61.69468688964844,68.48628997802734,36.09000015258789,137.66000366210938
2011-03-31,53.197872161865234,61.71276092529297,68.38040924072266,37.349998474121094,139.86000061035156
2011-04-30,54.73859786987305,63.156288146972656,69.6395034790039,38.939998626708984,152.3699951171875
2011-05-31,54.157928466796875,65.31800079345703,71.38441467285156,36.27000045776367,149.63999938964844
2011-06-30,53.18330001831055,63.80067443847656,71.0242919921875,34.11000061035156,146.0
2011-07-31,51.97813034057617,66.6171646118164,73.27544403076172,35.189998626708984,158.2899932861328
2011-08-31,48.813568115234375,73.0573959350586,76.68376159667969,34.59000015258789,177.72000122070312
2011-09-30,45.11741638183594,82.70547485351562,78.399169921875,30.190000534057617,158.05999755859375
2011-10-31,50.24509048461914,79.53850555419922,77.39057922363281,33.290000915527344,167.33999633789062
2011-11-30,50.057491302490234,81.12055206298828,77.83937072753906,33.790000915527344,170.1300048828125
2011-12-31,50.546592712402344,83.91508483886719,79.38656616210938,32.97999954223633,151.99000549316406
2012-01-31,53.10930633544922,83.6382064819336,80.07081604003906,33.77000045776367,169.30999755859375
2012-02-29,55.349693298339844,81.46613311767578,79.19021606445312,35.869998931884766,164.2899932861328
2012-03-31,57.04766845703125,78.01525115966797,77.93006134033203,34.779998779296875,162.1199951171875
2012-04-30,56.68451690673828,81.78670501708984,79.88542938232422,34.65999984741211,161.8800048828125
2012-05-31,53.155540466308594,89.168212890625,82.17781066894531,30.229999542236328,151.6199951171875
2012-06-30,55.30574035644531,87.67176818847656,81.83733367919922,30.440000534057617,155.19000244140625
2012-07-31,55.789791107177734,91.01846313476562,82.98401641845703,32.22999954223633,156.49000549316406
2012-08-31,57.29738235473633,89.81806945800781,82.88668060302734,34.540000915527344,164.22000122070312
2012-09-30,58.724876403808594,87.54313659667969,82.59797668457031,33.79999923706055,171.88999938964844
2012-10-31,57.66439437866211,87.119384765625,82.27088165283203,32.439998626708984,166.8300018310547
2012-11-30,58.11088180541992,88.12932586669922,83.07649993896484,32.959999084472656,166.0500030517578
2012-12-31,58.8621940612793,85.93694305419922,82.2952651977539,32.790000915527344,162.02000427246094
2013-01-31,62.05108642578125,83.19953155517578,81.2310562133789,34.290000915527344,161.1999969482422
2013-02-28,62.846317291259766,84.23014068603516,82.15095520019531,32.540000915527344,153.0
2013-03-31,65.32779693603516,83.87679290771484,82.3865966796875,32.900001525878906,154.4499969482422
2013-04-30,66.37679290771484,87.80636596679688,83.64326477050781,31.290000915527344,142.77000427246094
2013-05-31,67.99871063232422,81.86981201171875,81.0461196899414,30.809999465942383,133.9199981689453
2013-06-30,67.02174377441406,79.19161987304688,78.9825210571289,30.799999237060547,119.11000061035156
2013-07-31,70.8726577758789,77.40353393554688,78.7039794921875,32.540000915527344,127.95999908447266
2013-08-31,68.7242202758789,76.36601257324219,77.58439636230469,33.54999923706055,134.6199951171875
2013-09-30,71.40251159667969,76.86376953125,79.0167465209961,32.380001068115234,128.17999267578125
2013-10-31,74.4492416381836,77.9632568359375,79.63131713867188,31.90999984741211,127.73999786376953
2013-11-30,76.46133422851562,75.85570526123047,78.93347930908203,31.760000228881836,120.69999694824219
2013-12-31,78.55144500732422,74.43743896484375,77.28330993652344,32.189998626708984,116.12000274658203
2014-01-31,76.06192016601562,79.12905883789062,79.65069580078125,31.479999542236328,120.08999633789062
2014-02-28,79.76346588134766,79.54373168945312,79.93547058105469,32.9900016784668,127.62000274658203
2014-03-31,80.16973876953125,80.12615203857422,79.4869384765625,32.970001220703125,123.61000061035156
2014-04-30,80.21910858154297,81.80493927001953,80.08971405029297,33.29999923706055,124.22000122070312
2014-05-31,81.90523529052734,84.21778106689453,81.55164337158203,33.130001068115234,120.43000030517578
2014-06-30,84.05213165283203,84.00616455078125,81.37488555908203,33.91999816894531,128.0399932861328
2014-07-31,82.37554931640625,84.56405639648438,81.1954116821289,32.0,123.38999938964844
2014-08-31,85.79480743408203,88.5587158203125,82.72211456298828,31.5,123.86000061035156
2014-09-30,83.99598693847656,86.68809509277344,81.8539810180664,29.59000015258789,116.20999908447266
2014-10-31,86.30249786376953,89.13137817382812,83.11149597167969,27.829999923706055,112.66000366210938
2014-11-30,88.44303894042969,91.77630615234375,84.1824722290039,25.020000457763672,112.11000061035156
2014-12-31,88.40913391113281,94.76026153564453,84.29148864746094,21.579999923706055,113.58000183105469
2015-01-31,85.99041748046875,104.0617446899414,87.91789245605469,19.700000762939453,123.44999694824219
2015-02-28,90.9279556274414,97.67398071289062,85.74481201171875,20.8700008392334,116.16000366210938
2015-03-31,89.87060546875,98.74085235595703,86.4788589477539,19.5,113.66000366210938
2015-04-30,90.42365264892578,95.35881805419922,85.93144989013672,21.6299991607666,113.47000122070312
2015-05-31,91.59675598144531,93.096435546875,85.57366180419922,21.15999984741211,114.0999984741211
2015-06-30,90.06263732910156,89.30553436279297,84.17809295654297,21.110000610351562,112.37000274658203
2015-07-31,91.5942611694336,93.36538696289062,85.45622253417969,18.1200008392334,104.93000030517578
2015-08-31,86.0147933959961,92.7216567993164,85.52373504638672,18.170000076293945,108.81999969482422
2015-09-30,83.50060272216797,94.54536437988281,86.87435150146484,17.079999923706055,106.86000061035156
2015-10-31,90.10655212402344,94.1588363647461,86.32098388671875,17.06999969482422,109.30000305175781
2015-11-30,90.64789581298828,93.34182739257812,85.95186614990234,15.510000228881836,101.91999816894531
2015-12-31,88.72303009033203,93.06448364257812,85.56244659423828,14.229999542236328,101.45999908447266
2016-01-31,83.64464569091797,98.25099182128906,88.41477966308594,13.479999542236328,106.94999694824219
2016-02-29,83.6361312866211,101.2829818725586,89.72865295410156,13.199999809265137,118.63999938964844
2016-03-31,89.58253479003906,101.1884765625,89.66931915283203,13.789999961853027,117.63999938964844
2016-04-30,90.17224884033203,100.44319915771484,89.52932739257812,15.220000267028809,123.6500015258789
2016-05-31,91.7362289428711,101.252197265625,89.44044494628906,15.420000076293945,116.05999755859375
2016-06-30,91.98707580566406,108.27318572998047,92.20203399658203,15.520000457763672,126.47000122070312
2016-07-31,95.64390563964844,110.54967498779297,92.42930603027344,13.960000038146973,128.97999572753906
2016-08-31,95.8413314819336,109.42927551269531,91.49449157714844,14.239999771118164,124.77999877929688
2016-09-30,96.03215026855469,107.77867889404297,91.71170806884766,14.819999694824219,125.63999938964844
2016-10-31,93.92744445800781,103.05726623535156,90.34088897705078,14.5600004196167,121.94000244140625
2016-11-30,98.14551544189453,94.5924072265625,86.5219497680664,14.920000076293945,111.75
2016-12-31,100.09532928466797,94.15479278564453,86.41944885253906,15.670000076293945,109.61000061035156
2017-01-31,101.95281219482422,94.92144012451172,86.60904693603516,15.430000305175781,115.55000305175781
2017-02-28,105.71981811523438,96.42559814453125,87.23580932617188,15.449999809265137,119.2300033569336
2017-03-31,105.77825164794922,95.79387664794922,87.3060531616211,14.819999694824219,118.72000122070312
2017-04-30,106.9029769897461,97.3008804321289,88.27410125732422,14.430000305175781,120.7699966430664
2017-05-31,107.98412322998047,99.13783264160156,89.00387573242188,14.260000228881836,120.62000274658203
2017-06-30,109.00707244873047,99.9228744506836,88.55040740966797,14.020000457763672,118.0199966430664
2017-07-31,111.05668640136719,99.26507568359375,88.88233947753906,14.609999656677246,120.75
2017-08-31,111.22311401367188,102.64875793457031,90.17778778076172,14.460000038146973,125.81999969482422
2017-09-30,113.93701934814453,100.26428985595703,88.8778305053711,14.899999618530273,121.58000183105469
2017-10-31,116.40892028808594,100.22561645507812,88.70990753173828,15.479999542236328,120.66999816894531
2017-11-30,119.93650817871094,100.97047424316406,88.46218872070312,15.680000305175781,121.0999984741211
2017-12-31,121.3290023803711,102.80066680908203,88.62564086914062,16.280000686645508,123.6500015258789
2018-01-31,127.67615509033203,99.45391082763672,86.72000122070312,16.889999389648438,127.6500015258789
2018-02-28,122.8759994506836,96.4291000366211,85.91102600097656,16.270000457763672,125.0
2018-03-31,120.46376037597656,99.1866455078125,86.90399932861328,16.649999618530273,125.79000091552734
2018-04-30,121.00518798828125,97.11547088623047,85.7946548461914,17.420000076293945,124.58999633789062
2018-05-31,124.29812622070312,99.06207275390625,86.64067840576172,17.690000534057617,123.0999984741211
2018-06-30,125.17268371582031,99.70181274414062,86.81171417236328,17.90999984741211,118.6500015258789
2018-07-31,129.3263397216797,98.2691879272461,86.35357666015625,17.260000228881836,115.98999786376953
2018-08-31,133.76531982421875,99.55858612060547,87.22919464111328,17.440000534057617,113.51000213623047
2018-09-30,134.0276641845703,96.70687866210938,86.17805480957031,18.110000610351562,112.76000213623047
2018-10-31,124.09537506103516,93.87289428710938,85.91690063476562,16.989999771118164,115.1500015258789
2018-11-30,126.59413146972656,95.55057525634766,87.05967712402344,15.109999656677246,115.54000091552734
2018-12-31,114.97766876220703,101.14363861083984,89.50103759765625,14.020000457763672,121.25
2019-01-31,124.79711151123047,101.52654266357422,90.0851058959961,15.1899995803833,124.75
2019-02-28,129.2384033203125,100.12910461425781,89.6117172241211,15.720000267028809,123.98999786376953
2019-03-31,131.06932067871094,105.70797729492188,91.99103546142578,15.949999809265137,122.01000213623047
2019-04-30,136.2139434814453,103.60323333740234,91.51402282714844,16.389999389648438,121.19999694824219
2019-05-31,127.42820739746094,110.68892669677734,94.30392456054688,15.010000228881836,123.33000183105469
2019-06-30,136.44773864746094,111.74061584472656,95.45171356201172,15.649999618530273,133.1999969482422
2019-07-31,138.3750762939453,112.0271987915039,95.48821258544922,15.579999923706055,133.2100067138672
2019-08-31,135.49319458007812,124.40523529052734,99.26158905029297,14.819999694824219,143.75
2019-09-30,137.90403747558594,121.07130432128906,98.084228515625,15.050000190734863,138.8699951171875
